;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
114;23788993;Toyota;Corolla;1.6 Touch;2017;50.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1598 cc;132 hp;Önden Çekiş;6,3 lt;55 lt;Belirtilmemiş;860.000
117;23787646;Toyota;Corolla;1.4 D-4D Elegant;2010;238.000 km;Düz;Dizel;Sedan;Gri;1364 cc;90 hp;Önden Çekiş;4,8 lt;55 lt;Tamamı orjinal;550.000
118;23788096;Toyota;Corolla;1.33 Comfort;2011;163.000 km;Düz;Benzin;Sedan;Gri (Gümüş);1329 cc;99 hp;Önden Çekiş;5,9 lt;55 lt;1 değişen;532.000
119;23787593;Toyota;Yaris;1.5 Dream;2021;27.500 km;Otomatik;Benzin;Hatchback/5;Beyaz;1490 cc;125 hp;Önden Çekiş;4,7 lt;42 lt;Tamamı orjinal;850.000
120;23785681;Toyota;Auris;1.4 D-4D Elegant;2010;283.000 km;Düz;Dizel;Hatchback/5;Gri (metalik);1364 cc;90 hp;Önden Çekiş;5 lt;55 lt;3 boyalı;475.000
122;23438056;Toyota;Avensis;1.6 Elegant Extra;2012;206.000 km;Düz;LPG & Benzin;Sedan;Gri (Gümüş);1598 cc;132 hp;Önden Çekiş;6,6 lt;60 lt;2 değişen, 1 boyalı;735.000
123;23437907;Toyota;Yaris;1.33 Terra Sporty;2011;96.750 km;Yarı Otomatik;Benzin;Hatchback/5;Bej;1329 cc;101 hp;Önden Çekiş;5,1 lt;42 lt;Tamamı orjinal;620.000
124;23786496;Toyota;Avensis;1.6 Elegant;2012;151.000 km;Düz;Benzin;Sedan;Gri;1598 cc;132 hp;Önden Çekiş;6,5 lt;60 lt;Belirtilmemiş;730.000
125;23787728;Toyota;Corolla;1.33 Life;2017;90.000 km;Düz;Benzin;Sedan;Beyaz;1329 cc;99 hp;Önden Çekiş;5,8 lt;55 lt;Tamamı orjinal;765.000
127;22642735;Toyota;Corolla;1.4 D-4D Elegant;2010;189.000 km;Yarı Otomatik;Dizel;Sedan;Füme;1364 cc;90 hp;Önden Çekiş;4,8 lt;55 lt;1 değişen, 7 boyalı;589.950
128;23787042;Toyota;Corolla;1.4 D-4D Advance;2015;54.500 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;Belirtilmemiş;715.000
129;23787045;Toyota;Avensis;1.6 Elegant Extra;2013;206.000 km;Düz;LPG & Benzin;Sedan;Füme;1598 cc;132 hp;Önden Çekiş;6,5 lt;60 lt;Belirtilmemiş;630.000
131;23786927;Toyota;Corolla;1.6 Premium;2014;131.000 km;Otomatik;LPG & Benzin;Sedan;Kahverengi;1598 cc;132 hp;Önden Çekiş;6,1 lt;55 lt;3 değişen;780.000
132;23786880;Toyota;Corolla;1.4 D-4D Life;2013;208.000 km;Düz;Dizel;Sedan;Füme;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;Belirtilmemiş;630.000
133;23046069;Toyota;Corolla;1.33 Life;2017;98.000 km;Düz;LPG & Benzin;Sedan;Beyaz;1329 cc;99 hp;Önden Çekiş;5,8 lt;55 lt;Tamamı orjinal;775.000
134;23783794;Toyota;Corolla;1.4 D-4D Premium;2015;88.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;Tamamı orjinal;840.000
135;23786103;Toyota;Corolla;1.6 Comfort Extra;2011;160.000 km;Otomatik;LPG & Benzin;Sedan;Gri (metalik);1598 cc;124 hp;Önden Çekiş;7,1 lt;55 lt;Tamamı orjinal;757.000
136;23417548;Toyota;Corolla;1.8 Hybrid Flame X-Pack;2022;24.500 km;Otomatik;Hibrit;Sedan;Mavi (metalik);1798 cc;98 hp;Önden Çekiş;3,5 lt;43 lt;Tamamı orjinal;1.301.000
137;23782746;Toyota;Yaris;1.4 D-4D Active;2012;115.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1364 cc;90 hp;Önden Çekiş;4 lt;42 lt;1 boyalı;570.000
138;23786640;Toyota;Auris;1.4 D-4D Comfort Extra;2012;192.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1364 cc;90 hp;Önden Çekiş;4,8 lt;55 lt;1 değişen, 3 boyalı;660.000
139;23786644;Toyota;Corolla;1.4 D-4D Premium;2016;81.000 km;Düz;Dizel;Sedan;Beyaz;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;Tamamı orjinal;989.750
140;23784033;Toyota;Corolla;1.4 D-4D Advance;2014;199.000 km;Yarı Otomatik;Benzin;Sedan;Beyaz;1364 cc;90 hp;Önden Çekiş;4,1 lt;55 lt;1 boyalı;758.500
141;23782356;Toyota;Auris;1.4 D-4D Advance;2013;116.000 km;Düz;Dizel;Hatchback/5;Gri (metalik);1364 cc;90 hp;Önden Çekiş;4,2 lt;50 lt;2 boyalı;758.000
